ID No.,Nickname,PCE,Voc (V),Jsc (mA cm^2),FF,Mw (kg mol^-1),Mn (kg mol^-1),PDI (=Mw/Mn),Monomer (g mol^-1),-HOMO (eV),-LUMO (eV),bandgap(eV),SMILES
639,BO-BO,0.93,0.59,3.4,0.46,82.3,33.2 ,2.48 ,1189,5.14,3.34,1.51,CC1=CC=C(C(N(CC(CCCC)CCCCCC)C2=O)=C(C2=C(C(S3)=CC=C3C(S4)=CC(C4=C5CCC(CCCC)CCCCC)=C(CCC(CCCCC)CCCC)C6=C5C=C(C)S6)N7CC(CCCCCC)CCCC)C7=O)S1
640,PU-O,1.4,0.62,5.2,0.43,54.8,27.8 ,1.97 ,1189,5.1,3.31,1.36,CC1=CC=C(C(N(CCCCCCCC)C2=O)=C(C2=C(C(S3)=CC=C3C(S4)=CC(C4=C5CCC(CCCCCCCC)CCCCC)=C(CCC(CCCCC)CCCCCCCC)C6=C5C=C(C)S6)N7CCCCCCCC)C7=O)S1
641,PBDT-DPP (P1),4.35,0.64,11.27,0.602,130.0,40.0 ,3.40 ,1221,5.3,3.8,1.5,CC1=CC=C(C(N(CC(CCCCCC)CCCC)C2=O)=C(C2=C(C(S3)=CC=C3C(S4)=CC(C4=C5OCCCCCCCCCCCC)=C(OCCCCCCCCCCCC)C6=C5C=C(C)S6)N7CC(CCCC)CCCCCC)C7=O)S1
642,PBDT-DPP (P2),4.43,0.7,12.1,0.524,320.0,93.0 ,3.50 ,1189,5.3,3.8,1.5,CC1=CC=C(C(N(CC(CCCCCC)CCCC)C2=O)=C(C2=C(C(S3)=CC=C3C(S4)=CC(C4=C5CCCCCCCCCCCC)=C(CCCCCCCCCCCC)C6=C5C=C(C)S6)N7CC(CCCC)CCCCCC)C7=O)S1
643,PBDT-DPP (P3),2.69,0.68,8.75,0.453,72.0,32.0 ,2.20 ,1189,5.4,3.9,1.5,CC1=CC=C(C(N(CC(CCCCCCCCCCCC)CCCCCCCCCC)C2=O)=C(C2=C(C(S3)=CC=C3C(S4)=CC(C4=C5)=CC6=C5C=C(C)S6)N7CC(CCCCCCCCCCCC)CCCCCCCCCC)C7=O)S1
644,PBDT-DPP (P4),2.95,0.66,13.6,0.329,730.0,130.0 ,5.50 ,1241,5.4,3.9,1.5,CC1=CC=C(C(N(CC(CCCCCC)CCCC)C2=O)=C(C2=C(C(S3)=CC=C3C(S4)=CC(C4=C5C6=CC=C(CC(CC)CCCC)S6)=C(C7=CC=C(CC(CC)CCCC)S7)C8=C5C=C(C)S8)N9CC(CCCC)CCCCCC)C9=O)S1
647,PBDTF-DPPF,5.1,0.72,12.64,0.565,169.3,30.5 ,5.55 ,1065,5.24,3.74,1.47,CC1=CC=C(C(N(CC(CCCC)CC)C2=O)=C(C2=C(C(O3)=CC=C3C(S4)=CC(C4=C5C6=CC=C(CC(CC)CCCC)O6)=C(C7=CC=C(CC(CC)CCCC)O7)C8=C5C=C(C)S8)N9CC(CC)CCCC)C9=O)O1
648,PBDT-DPP,1.0,0.62,3.87,0.4,152.0,28.9 ,5.26 ,997,5.05,3.4,1.56,CC1=CC=C(C(N(CC(CCCC)CC)C2=O)=C(C2=C(C(S3)=CC=C3C(S4)=CC(C4=C5OCC(CC)CCCC)=C(OCC(CC)CCCC)C6=C5C=C(C)S6)N7CC(CC)CCCC)C7=O)S1
649,PBDT-DPPF,2.9,0.63,8.78,0.533,154.3,29.5 ,,965,5.15,3.44,1.59,CC1=CC=C(C(N(CC(CCCC)CC)C2=O)=C(C2=C(C(O3)=CC=C3C(S4)=CC(C4=C5OCC(CC)CCCC)=C(OCC(CC)CCCC)C6=C5C=C(C)S6)N7CC(CC)CCCC)C7=O)O1
650,P1,1.93,0.81,6.27,0.369,58.3,30.7 ,1.90 ,1353,5.2,3.56,1.64,CC1=CC2=C(C(C3=CC(C=C(CC(CC)CCCC)C=C4)=C4S3)=C(C=C(C5=CC=C(C6=C(OCC(CC(CC)CCCC)(CC(CCCC)CC)CO7)C7=C(C8=CC=C(C)C9=NSN=C89)S6)C%10=NSN=C5%10)S%11)C%11=C2C%12=CC(C=C(CC(CCCC)CC)C=C%13)=C%13S%12)S1
651,P2,2.6,0.78,5.15,0.581,49.3,28.3 ,1.74 ,1453,5.26,3.89,1.37,CC1=CC=C(C(N(CC(CCCCCC)CCCCCCCC)C2=O)=C(C2=C(C(S3)=CC=C3C(S4)=CC(C4=C5C6=CC(C=C(CC(CCCC)CC)C=C7)=C7S6)=C(C8=CC(C=C(CC(CC)CCCC)C=C9)=C9S8)C%10=C5C=C(C)S%10)N%11CC(CCCCCCCC)CCCCCC)C%11=O)S1
654,PBDTDPPcbp,1.2,0.68,4.11,0.448,72.9,33.0 ,2.21 ,1463,5.39,3.57,1.82,CC1=CC=C(C(N(CCCCCCCCCCCCC2=CC=C(C3=CC=C(C#N)C=C3)C=C2)C4=O)=C(C4=C(C(S5)=CC=C5C6=CC(C(OCC(CC)CCCC)=C(SC(C)=C7)C7=C8OCC(CC)CCCC)=C8S6)N9CCCCCCCCCCCCC%10=CC=C(C%11=CC=C(C#N)C=C%11)C=C%10)C9=O)S1
655,PCBTDPPcbp,1.1,0.8,4.72,0.319,70.8,28.1 ,2.52 ,1422,5.43,3.38,2.05,CC1=CC=C(C(N(CCCCCCCCCCCCC2=CC=C(C3=CC=C(C#N)C=C3)C=C2)C4=O)=C(C4=C(C(S5)=CC=C5C6=CC7=C(C8=CC=C(C)C=C8N7C(CCCCCCCC)CCCCCCCC)C=C6)N9CCCCCCCCCCCCC%10=CC=C(C%11=CC=C(C#N)C=C%11)C=C%10)C9=O)S1
657,PDPP2Tz2T,5.1,0.92,8.8,0.63,196.0,108.9 ,1.80 ,1167,5.46,3.99,1.47,CC1=CN=C(C(N(CC(CCCCCCCCCC)CCCCCCCCCCCC)C2=O)=C3C2=C(C4=NC=C(C5=CC=C(C6=CC=C(C)S6)S5)S4)N(C[C@H](CCCCCCCCCCCC)CCCCCCCCCC)C3=O)S1
658,PDPP2TzDTP,5.6,0.69,14.9,0.54,274.4,88.5 ,3.10 ,955,5.18,3.9,1.28,CC1=CN=C(C(N(CC(CCCCCC)CCCC)C2=O)=C3C2=C(C4=NC=C(C5=CC(N(CC(CC)CCCC)C6=C7SC(C)=C6)=C7S5)S4)N(C[C@H](CCCCCC)CCCC)C3=O)S1
659,PffBT-T4-2HD,7.0,0.73,14.8,0.644,25.8,13.9 ,1.86 ,976,5.21,3.56,1.65,CC1=C(CC(CCCCCC)CCCCCCCC)C=C(C2=C(F)C(F)=C(C3=CC(CC(CCCCCC)CCCCCCCC)=C(C4=CC=C(C5=CC=C(C)S5)S4)S3)C6=NSN=C62)S1
660,"PffBT-T3(1,3)",3.7,0.77,10.6,0.453,56.0,37.7 ,1.49 ,894,5.35,3.75,1.6,CC1=C(CC(CCCCCC)CCCCCCCC)C=C(C2=C(F)C(F)=C(C3=CC(CC(CCCCCC)CCCCCCCC)=C(C4=CC=C(C)S4)S3)C5=NSN=C52)S1
662,"PffBT-T3(1,2)-2",10.5,0.82,18.7,0.683,109.6,66.1 ,1.66 ,1731,5.31,3.68,1.63,FC(C(F)=C(C1=CC(CC(CCCCCC)CCCCCCCC)=C(C2=CC(CC(CCCCCCC)CCCCCC)=C(C3=CC=C(C4=C(F)C(F)=C(C5=CC=C(C)S5)C6=NSN=C64)S3)S2)S1)C7=NSN=C78)=C8C9=CC(CC(CCCCCC)CCCCCCCC)=C(C%10=CC(CC(CCCCCC)CCCCCCC)=C(C)S%10)S9
663,PffBT-T2,4.3,0.88,10.1,0.486,98.0,58.4 ,1.68 ,1539,5.38,3.77,1.61,CC1=C(CC(CCCCCCCCCCCCCC)CCCCCCCCCCCCCC)C=C(C2=C(F)C(F)=C(C3=CC(CC(CCCCCCCCCCCCCC)CCCCCCCCCCCCCC)=C(C4=CC=C(C5=C(F)C(F)=C(C6=CC=C(C)S6)C7=NSN=C75)S4)S3)C8=NSN=C82)S1
664,EC12-DT,5.75,0.861,13.3,0.575,69.0,33.0 ,2.10 ,1799,5.51,3.8,1.71,CC(S1)=C(CC(CCCCCCCCCCCC)CCCCCCCCCC)C=C1C2=CC3=C(C4=NSN=C42)C=C(C5=CC(CC(CCCCCCCCCC)CCCCCCCCCCCC)=C(C6=CC(CCCCCCCCCCCC)=C(C7=NC8=CC9=C(N=C(C%10=C(CCCCCCCCCCCC)C=C(C)S%10)S9)C=C8S7)S6)S5)C%11=NSN=C3%11
665,EC12-OD,3.57,0.873,7.37,0.564,98.0,58.0 ,1.70 ,1687,5.5,3.77,1.73,CC(S1)=C(CC(CCCCCCCC)CCCCCCCCCC)C=C1C2=CC3=C(C4=NSN=C42)C=C(C5=CC(CC(CCCCCCCCCC)CCCCCCCC)=C(C6=CC(CCCCCCCCCCCC)=C(C7=NC8=CC9=C(N=C(C%10=C(CCCCCCCCCCCC)C=C(C)S%10)S9)C=C8S7)S6)S5)C%11=NSN=C3%11
666,EHD-HD,2.41,0.931,4.32,0.629,48.0,34.0 ,1.40 ,1687,5.57,3.85,1.72,CC(S1)=C(CC(CCCCCCCC)CCCCCC)C=C1C2=CC3=C(C4=NSN=C42)C=C(C5=CC(CC(CCCCCC)CCCCCCCC)=C(C6=CC(CC(CCCCCC)CCCCCCCC)=C(C7=NC8=CC9=C(N=C(C%10=C(CC(CCCCCCCC)CCCCCC)C=C(C)S%10)S9)C=C8S7)S6)S5)C%11=NSN=C3%11
667,EHD-BO,3.42,0.811,9.3,0.491,66.0,51.0 ,1.30 ,1575,5.45,3.76,1.69,CC(S1)=C(CC(CCCC)CCCCCC)C=C1C2=CC3=C(C4=NSN=C42)C=C(C5=CC(CC(CCCCCC)CCCC)=C(C6=CC(CC(CCCCCC)CCCCCCCC)=C(C7=NC8=CC9=C(N=C(C%10=C(CC(CCCCCCCC)CCCCCC)C=C(C)S%10)S9)C=C8S7)S6)S5)C%11=NSN=C3%11
668,EBO-BO,2.93,0.834,8.61,0.43,33.0,25.0 ,1.40 ,1463,5.44,3.76,1.68,CC(S1)=C(CC(CCCC)CCCCCC)C=C1C2=CC3=C(C4=NSN=C42)C=C(C5=CC(CC(CCCCCC)CCCC)=C(C6=CC(CC(CCCCCC)CCCC)=C(C7=NC8=CC9=C(N=C(C%10=C(CC(CCCC)CCCCCC)C=C(C)S%10)S9)C=C8S7)S6)S5)C%11=NSN=C3%11
669,PT-ID1,0.92,0.87,1.76,0.6,36.1,17.2 ,2.10 ,933,5.49,3.91,1.58,CC1=CC=C(/C(C(N2CC(CCCCCCCC)CCCCCCCCCC)=O)=C(C(N3CC(CCCCCCCCCC)CCCCCCCC)=O)/C4=C3C=C(C=C4)C5=CC=C(C)S5)C2=C1
671,PBDT-ID,1.91,0.71,7.93,0.34,32.6,21.9 ,1.50 ,959,5.2,3.66,1.54,CC1=CC2=C(OCC(CC)CCCC)C(S3)=C(C(OCC(CC)CCCC)=C2S1)C=C3C4=CC5=C(/C(C(N5CC(CC)CCCC)=O)=C6C(N(CC(CCCC)CC)C7=CC(C)=CC=C7)=O)C=C4
672,PBDT?IBTI,6.41,0.77,11.71,0.71,115.8,43.5 ,2.67 ,1485,5.24,3.72,1.71,CC1=CC2=C(OCC(CC)CCCC)C(S3)=C(C(OCC(CCCC)CC)=C2S1)C=C3C4=CC=C(/C(C(N5CC(CCCCCCCCCC)CCCCCCCC)=O)=C/C6=CC=C(C7=CC=C(/C=C8C(C=CC(C)=C9)=C9N(CC(CCCCCCCCCC)CCCCCCCC)C/8=O)S7)S6)C5=C4
673,PMIM,1.5,0.73,6.24,0.36,42.2,20.1 ,2.10 ,931,5.93,3.84,1.53,O=C(N1CC(CCCCCCCC)CCCCCC)/C(C2=C1C=C(C)C=C2)=C3C(N(CC(CCCCCC)CCCCCCCC)C4=CC(C5=CC(C)=C(C6=C(C)C=C(C)S6)S5)=CC=C4/3)=O
675,PBDTO-MIM,4.9,0.73,10.7,0.64,190.5,63.5 ,3.00 ,1375,5.87,3.91,1.66,O=C(N1CC(CCCCCCCC)CCCCCC)/C(C2=C1C=C(C)C=C2)=C3C(N(CC(CCCCCC)CCCCCCCC)C4=CC(C5=CC(C)=C(C6=CC7=C(OCC(CCCC)CC)C8=C(C=C(C9=C(C)C=C(C)S9)S8)C(OCC(CCCC)CC)=C7S6)S5)=CC=C4/3)=O
676,PBDTA-MIM,5.1,0.8,10.2,0.65,277.2,69.3 ,4.00 ,1483,5.94,3.81,1.66,O=C(N1CC(CCCCCCCC)CCCCCC)/C(C2=C1C=C(C)C=C2)=C3C(N(CC(CCCCCC)CCCCCCCC)C4=CC(C5=CC(C)=C(C6=CC7=C(CCC(CCCC)CCCCCC)C8=C(C=C(C9=C(C)C=C(C)S9)S8)C(CCC(CCCC)CCCCCC)=C7S6)S5)=CC=C4/3)=O
677,PBDT-ID,2.8,0.85,6.4,0.52,165.0,33.0 ,5.00 ,1183,5.81,4.18,1.63,CC1=CC2=C(OCC(CC)CCCC)C(S3)=C(C(OCC(CC)CCCC)=C2S1)C=C3C4=CC5=C(/C(C(N5CC(CCCCCCCC)CCCCCC)=O)=C6C(N(CC(CCCCCC)CCCCCCCC)C7=CC(C)=CC=C7)=O)C=C4
678,PBDT-TIT,4.35,0.79,9.38,0.66,109.2,42.0 ,2.60 ,1347,5.75,4.08,1.68,CC1=CC2=C(OCC(CC)CCCC)C3=C(C(OCC(CC)CCCC)=C2S1)C=C(C4=CC=C(C5=CC6=C(/C(C(N6CC(CCCCCCCC)CCCCCC)=O)=C7C(N(CC(CCCCCC)CCCCCCCC)C8=CC(C9=CC=C(C)S9)=CC=C8)=O)C=C5)S4)S3
679,PBDT-BTI,7.31,0.72,14.96,0.68,181.5,55.0 ,3.30 ,1735,5.62,3.99,1.63,O=C(N1CC(CCCCCCCC)CCCCCC)/C(C2=C1C=C(C3=CC(CCCCCCCC)=C(S3)C(S4)=CC=C4C5=CC(C(OC[C@H](CC)CCCC)=C(SC(C6=CC=C(C7=C(CCCCCCCC)C=C(C)S7)S6)=C8)C8=C9OCC(CC)CCCC)=C9S5)C=C2)=C%10C(N(CC(CCCCCC)CCCCCCCC)C%11=CC(C)=CC=C%11/%10)=O
682,PBDT-TIIG,2.43,0.38,11.74,0.572,95.2,34.0 ,2.80 ,1603,4.96,3.29,1.05,O=C1/C(C2=C(C=C(C(S3)=CC=C3C4=CC(C(C5=CC=C(CC(CC)CCCC)S5)=C(SC(C6=CC=C(C)S6)=C7)C7=C8C9=CC=C(CC(CC)CCCC)S9)=C8S4)S2)N1CC(CCCCCCCC)CCCCCCCCCC)=C%10C(N(CC(CCCCCCCCCC)CCCCCCCC)C%11=C/%10SC(C)=C%11)=O
683,PBDTT?ID,4.76,0.88,8.95,0.6,88.7,36.8 ,2.41 ,1479,5.52,3.92,1.6,O=C(N1CC(CC)CCCC)/C(C2=C1C=C(C(S3)=CC=C3C4=CC(C(C5=CC(CCCCCCCC)=C(CCCCCCCC)S5)=C(SC(C)=C6)C6=C7C8=CC(CCCCCCCC)=C(CCCCCCCC)S8)=C7S4)C=C2)=C9C(N(CC(CCCC)CC)C%10=CC(C%11=CC=C(C)S%11)=CC=C%10/9)=O
684,PBDTT?FID,7.04,0.92,11.3,0.68,98.6,37.2 ,2.65 ,1515,5.64,4.06,1.58,O=C(N1CC(CC)CCCC)/C(C2=C1C(F)=C(C(S3)=CC=C3C4=CC(C(C5=CC(CCCCCCCC)=C(CCCCCCCC)S5)=C(SC(C)=C6)C6=C7C8=CC(CCCCCCCC)=C(CCCCCCCC)S8)=C7S4)C=C2)=C9C(N(CC(CCCC)CC)C%10=C(F)C(C%11=CC=C(C)S%11)=CC=C%10/9)=O
685,P1,1.05,0.75,4.0,0.34,70.2,23.4 ,3.00 ,698,5.62,3.9,1.72,CC1=CC(C(C#CC2=CC=C(CCCCCCCCCC)C=C2)=C(SC(C)=C3)C3=C4C#CC5=CC=C(CCCCCCCCCC)C=C5)=C4S1
687,P1,1.19,0.83,3.71,0.39,65.1,29.6 ,2.20 ,666,5.39,3.32,2.07,CC(O1)=CC(C1=C(C#CC2=CC=C(CCCCCCCCCC)C=C2)C3=C4OC(C)=C3)=C4C#CC5=CC=C(CCCCCCCCCC)C=C5
688,P2,0.79,0.81,2.24,0.44,56.3,22.5 ,2.50 ,1335,5.3,3.26,2.04,CC(O1)=CC(C1=C(C#CC2=CC=C(CCCCCCCCCC)C=C2)C3=C4OC(C(S5)=CC(C5=C(C#CC6=CC=C(CCCCCCCCCC)C=C6)C7=C8SC(C)=C7)=C8C#CC9=CC=C(CCCCCCCCCC)C=C9)=C3)=C4C#CC%10=CC=C(CCCCCCCCCC)C=C%10
689,syn-PBDFID,1.44,0.85,2.89,0.59,343.5,146.8 ,2.34 ,1007,5.63,3.9,1.73,CC1=CC2=C(C=C(OC(C3=CC=C(/C(C(N4CC(CCCCCCCC)CCCCCCCCCC)=O)=C5C(N(CC(CCCCCCCCCC)CCCCCCCC)C6=CC=CC(C)=C6)=O)C4=C3)=C7)C7=C2)O1
690,anti-PBDFID,0.65,0.75,1.74,0.48,88.7,34.8 ,2.55 ,1007,5.49,3.85,1.64,CC1=CC2=C(C=C(C=C(C3=CC=C(/C(C(N4CC(CCCCCCCC)CCCCCCCCCC)=O)=C5C(N(CC(CCCCCCCCCC)CCCCCCCC)C6=CC=CC(C)=C6)=O)C4=C3)O7)C7=C2)O1
691,P1,2.89,0.69,7.0,0.6,55.6,28.9 ,1.90 ,1401,5.5,3.7,1.8,O=C1C(C2=C(C3=CC=C(C)O3)N1CC(CCCC)CC)=C(C(O4)=CC=C4C(S5)=CC(CCCCCCCCCC)=C5C(O6)=C(CCCCCCCCCC)C(C6=C7)=CC8=C7C(CCCCCCCCCC)=C(C9=C(CCCCCCCCCC)C=C(C)S9)O8)N(C[C@@H](CC)CCCC)C2=O
692,P2,2.81,0.65,7.7,0.57,44.2,19.9 ,2.20 ,1569,5.5,3.8,1.7,O=C1C(C2=C(C3=CC=C(C)O3)N1CCCCCCCCCCCCCC)=C(C(O4)=CC=C4C(S5)=CC(CCCCCCCCCC)=C5C(O6)=C(CCCCCCCCCC)C(C6=C7)=CC8=C7C(CCCCCCCCCC)=C(C9=C(CCCCCCCCCC)C=C(C)S9)O8)N(CCCCCCCCCCCCCC)C2=O
693,P3,2.28,0.66,7.4,0.47,24.0,9.5 ,2.50 ,1433,5.6,3.8,1.8,O=C1C(C2=C(C3=CC=C(C)S3)N1CC(CCCC)CC)=C(C(S4)=CC=C4C(S5)=CC(CCCCCCCCCC)=C5C(O6)=C(CCCCCCCCCC)C(C6=C7)=CC8=C7C(CCCCCCCCCC)=C(C9=C(CCCCCCCCCC)C=C(C)S9)O8)N(CC(CCCC)CC)C2=O
694,P4,0.97,0.59,4.2,0.39,8.1,6.1 ,1.30 ,1601,5.6,3.7,1.9,O=C1C(C2=C(C3=CC=C(C)S3)N1CCCCCCCCCCCCCC)=C(C(S4)=CC=C4C(S5)=CC(CCCCCCCCCC)=C5C(O6)=C(CCCCCCCCCC)C(C6=C7)=CC8=C7C(CCCCCCCCCC)=C(C9=C(CCCCCCCCCC)C=C(C)S9)O8)N(CCCCCCCCCCCCCC)C2=O
695,PBDFTT-C,4.26,0.54,13.13,0.6,69.2,40.7 ,1.70 ,706,5.03,3.63,1.53,CC1=CC2=C(C(OCCCCCCCC)=C(C=C(C3=C4C(SC(C(C(CC)CCCC)=O)=C4)=C(C)S3)O5)C5=C2OCCCCCCCC)O1
699,PBDFTT-ECN,2.28,0.87,5.88,0.446,39.0,30.0 ,1.30 ,761,5.44,3.7,1.6,CC1=CC2=C(C(OCCCCCCCC)=C(C=C(C3=C4C(SC(C(OCC(CC)CCCC)=O)=C4C#N)=C(C)S3)O5)C5=C2OCCCCCCCC)O1
700,PBDFTT-CF-O,5.22,0.63,13.87,0.597,14.0,4.7 ,3.00 ,724,4.98,3.18,1.51,CC1=CC2=C(C(OCC(CC)CCCC)=C(C=C(C3=C4C(C(F)=C(C(C(CC)CCCC)=O)S4)=C(C)S3)O5)C5=C2OCC(CCCC)CC)O1
701,PBDFTT-CF-T,6.26,0.78,13.04,0.616,17.0,4.7 ,3.60 ,856,5.21,3.2,1.49,CC1=CC2=C(C(C3=CC=C(CC(CC)CCCC)S3)=C(C=C(C4=C5C(C(F)=C(C(C(CC)CCCC)=O)S5)=C(C)S4)O6)C6=C2C7=CC=C(CC(CCCC)CC)S7)O1
702,P1,2.39,0.73,6.04,0.54,73.2,23.0 ,3.18 ,1000,5.15,3.36,1.56,CC1=CC2=C(C(C3=CC=C(CCCCCCCCCCCC)S3)=C(C=C(C4=C5C(SC(C(C(CC)CCCC)=O)=C5F)=C(C)S4)S6)C6=C2C7=CC=C(CCCCCCCCCCCC)S7)S1
703,P2,2.5,0.67,6.32,0.59,86.5,33.6 ,2.57 ,968,5.07,3.29,1.52,CC1=CC2=C(C(C3=CC=C(CCCCCCCCCCCC)O3)=C(C=C(C4=C5C(SC(C(C(CC)CCCC)=O)=C5F)=C(C)S4)S6)C6=C2C7=CC=C(CCCCCCCCCCCC)O7)S1
704,P3,3.18,0.68,7.83,0.6,206.5,50.6 ,4.08 ,968,5.18,3.53,1.51,CC1=CC2=C(C(C3=CC=C(CCCCCCCCCCCC)S3)=C(C=C(C4=C5C(SC(C(C(CC)CCCC)=O)=C5F)=C(C)S4)O6)C6=C2C7=CC=C(CCCCCCCCCCCC)S7)O1
705,P4,5.01,0.65,12.11,0.64,337.5,66.7 ,5.06 ,937,5.12,3.56,1.5,CC1=CC2=C(C(C3=CC=C(CCCCCCCCCCCC)O3)=C(C=C(C4=C5C(SC(C(C(CC)CCCC)=O)=C5F)=C(C)S4)O6)C6=C2C7=CC=C(CCCCCCCCCCCC)O7)O1
706,BDF(2EH/C7),6.3,0.94,10.8,0.65,26.2,11.0 ,2.40 ,691,5.41,3.44,1.97,CC1=CC2=C(C(OCC(CCCC)CC)=C(C=C(C3=C4C(C(N(CCCCCCC)C4=O)=O)=C(C)S3)O5)C5=C2OCC(CC)CCCC)O1
707,BDF(2EH/C8),6.9,0.97,11.2,0.68,40.8,13.4 ,3.00 ,705,5.41,3.44,1.97,CC1=CC2=C(C(OCC(CCCC)CC)=C(C=C(C3=C4C(C(N(CCCCCCCC)C4=O)=O)=C(C)S3)O5)C5=C2OCC(CC)CCCC)O1
708,BDF(2EH/C9),6.9,0.93,11.3,0.69,34.4,13.0 ,2.60 ,719,5.41,3.44,1.97,CC1=CC2=C(C(OCC(CCCC)CC)=C(C=C(C3=C4C(C(N(CCCCCCCCC)C4=O)=O)=C(C)S3)O5)C5=C2OCC(CC)CCCC)O1
709,BDF(2EH/C10),5.9,0.94,11.2,0.6,36.1,13.8 ,2.60 ,733,5.41,3.44,1.97,CC1=CC2=C(C(OCC(CCCC)CC)=C(C=C(C3=C4C(C(N(CCCCCCCCCC)C4=O)=O)=C(C)S3)O5)C5=C2OCC(CC)CCCC)O1
710,BDT(2EH/C8),6.7,0.94,12.0,0.61,49.0,14.8 ,3.30 ,737,5.29,3.44,1.85,CC1=CC2=C(C(OCC(CCCC)CC)=C(C=C(C3=C4C(C(N(CCCCCCCC)C4=O)=O)=C(C)S3)S5)C5=C2OCC(CC)CCCC)S1
711,P9,4.61,0.8,9.81,0.587,14.3,11.3 ,1.27 ,1443,5.31,3.61,1.7,CC1=CC2=C(C(C#C[Si](C(C)C)(C(C)C)C(C)C)=C(C=C(C3=CC(OCCCCCCCCCCCCCCCCCCCC)=C(C4=NC(SC(C5=C(OCCCCCCCCCCCCCCCCCCCC)C=C(C)S5)=N6)=C6S4)S3)O7)C7=C2C#C[Si](C(C)C)(C(C)C)C(C)C)O1
712,P1,2.22,0.83,5.28,0.51,68.0,24.9 ,2.73 ,1517,5.25,3.2,1.67,CC1=CC2=C(C(C3=CC(CCCCCCCC)=C(CCCCCCCC)S3)=C(C=C(C4=CC=C(C5=CC(F)=C(C6=CC=C(C)S6)C7=C5N=C(C8=CC(OCCCCCCCC)=CC=C8)C(C9=CC(OCCCCCCCC)=CC=C9)=N7)S4)O%10)C%10=C2C%11=CC(CCCCCCCC)=C(CCCCCCCC)S%11)O1
713,P2,4.44,0.83,8.74,0.612,203.4,75.7 ,2.69 ,1535,5.3,3.25,1.68,CC1=CC2=C(C(C3=CC(CCCCCCCC)=C(CCCCCCCC)S3)=C(C=C(C4=CC=C(C5=C(F)C(F)=C(C6=CC=C(C)S6)C7=C5N=C(C8=CC(OCCCCCCCC)=CC=C8)C(C9=CC(OCCCCCCCC)=CC=C9)=N7)S4)O%10)C%10=C2C%11=CC(CCCCCCCC)=C(CCCCCCCC)S%11)O1
714,PTDBD2,7.6,0.89,13.0,0.653,108.6,38.5 ,2.82 ,978,5.24,3.57,1.67,CC(S1)=CC2=C1C3=C(C(CC(CCCC)CCCC)=C(C4=C(C=C(C5=C6C(SC(C(OCC(CCCCCC)CCCC)=O)=C6F)=C(C)S5)S4)S7)C7=C3CC(CCCC)CCCC)S2
716,PTR5b,5.0,0.65,12.2,0.63,76.5,35.6 ,2.15 ,1066,5.18,3.28,1.66,CC(S1)=CC2=C1C3=C(C(OCC(CCCC)CCCCCC)=C(C4=C(C=C(C5=C6C(C(F)=C(C(OCC(CCCCCC)CCCC)=O)S6)=C(C)S5)S4)S7)C7=C3OCC(CCCCCC)CCCC)S2
718,PTR7b,0.08,0.3,0.96,0.288,18.9,12.3 ,1.54 ,1429,5.22,2.99,1.78,CC1=C(C(F)=C(C(OCC(CCCCCC)CCCC)=O)S2)C2=C(S1)C(S3)=CC(S4)=C3C(C4=C5OCC(CCCCCC)CCCC)=C(OCC(CCCC)CCCCCC)C6=C5C7=C(C8=C(OCC(CCCC)CC)C9=C(C=C(C)S9)C(OCC(CC)CCCC)=C8S7)S6
719,PTR9a,2.8,0.71,7.23,0.546,28.8,11.0 ,2.62 ,1679,5.23,3.04,1.84,CC1=C(C(F)=C(C(OCC(CC)CCCC)=O)S2)C2=C(C(S3)=CC(C3=C4OC[C@H](CC)CCCC)=C(OCC(CCCC)CC)C(S5)=C4C(S6)=C5C(C6=C7OCC(CCCCCC)CCCC)=C(OCC(CCCC)CC)C8=C7C9=C(C%10=C(OCC(CCCC)CC)C%11=C(C=C(C)S%11)C(OCC(CC)CCCC)=C%10S9)S8)S1
720,PTR9b,2.0,0.71,5.22,0.54,41.5,14.7 ,2.82 ,1791,5.32,3.01,1.83,CC1=C(C(F)=C(C(OCC(CCCCCC)CCCC)=O)S2)C2=C(C(S3)=CC(C3=C4OC[C@H](CC)CCCC)=C(OCC(CCCC)CC)C(S5)=C4C(S6)=C5C(C6=C7OCC(CCCCCC)CCCC)=C(OCC(CCCC)CCCCCC)C8=C7C9=C(C%10=C(OCC(CCCC)CC)C%11=C(C=C(C)S%11)C(OCC(CC)CCCC)=C%10S9)S8)S1
722,pDTBDT-DTPD,2.7,0.79,6.64,0.539,42.0,25.0 ,1.68 ,1374,5.53,3.87,1.66,CC(S1)=CC2=C1C3=C(C(C4=CC(CCCCCCCCCC)=C(CCCCCCCCCC)S4)=C(C5=C(C=C(C6=C7C(C8=C(C(N(CCCCCCCC)C8=O)=O)S7)=C(C)S6)S5)S9)C9=C3C%10=CC(CCCCCCCCCC)=C(CCCCCCCCCC)S%10)S2
723,PBT-HD-DPP-C16,2.42,0.62,6.41,0.609,15.2,9.7 ,1.58 ,1557,5.13,3.65,1.48,CC(S1)=CC2=C1C3=C(C(OCC(CCCCCCCC)CCCCCC)=C(C4=C(C=C(C5=CC=C(C6=C7C(C(N6CC(CCCCCCCC)CCCCCC)=O)=C(C8=CC=C(C)S8)N(CC(CCCCCC)CCCCCCCC)C7=O)S5)S4)S9)C9=C3OCC(CCCCCC)CCCCCCCC)S2
